Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS,1,0.0309,0.030996900309969003,1.0,SLC4A1
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_URINE_VOLUME,1,0.0309,0.030996900309969003,1.0,SLC4A1
GO_Biological_Process,GOBP_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING,1,0.0309,0.030996900309969003,1.0,SLC4A1
GO_Biological_Process,GOBP_REGULATION_OF_GLYCOLYTIC_PROCESS,1,0.0309,0.030996900309969003,1.0,SLC4A1
GO_Biological_Process,GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION,1,0.0309,0.030996900309969003,1.0,SLC4A1
GO_Biological_Process,GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,2,0.283,0.031096890310968902,1.0,"FLNA, SLC4A1"
GO_Biological_Process,GOBP_CARTILAGE_HOMEOSTASIS,1,0.031,0.031096890310968902,1.0,COMP
GO_Biological_Process,GOBP_GROWTH_PLATE_CARTILAGE_DEVELOPMENT,1,0.031,0.031096890310968902,1.0,COMP
GO_Biological_Process,GOBP_HOST_MEDIATED_PERTURBATION_OF_VIRAL_GENOME_REPLICATION,1,0.031,0.031096890310968902,1.0,STOM
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE,1,0.031,0.031096890310968902,1.0,STOM
GO_Biological_Process,GOBP_REGULATION_OF_PROTEIN_TARGETING,1,0.031,0.031096890310968902,1.0,STOM
GO_Biological_Process,GOBP_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE,1,0.031,0.031096890310968902,1.0,STOM
GO_Biological_Process,GOBP_TENDON_DEVELOPMENT,1,0.031,0.031096890310968902,1.0,COMP
GO_Biological_Process,GOBP_CELLULAR_RESPONSE_TO_HYDROPEROXIDE,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_CELLULAR_RESPONSE_TO_OXIDISED_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_MACROPHAGE_CYTOKINE_PRODUCTION,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_REGULATION_OF_REMOVAL_OF_SUPEROXIDE_RADICALS,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,1,0.0311,0.031196880311968805,1.0,CD36
GO_Biological_Process,GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,3,0.7287,0.031296870312968704,1.0,"APOC3, PKLR, PTGDS"
GO_Biological_Process,GOBP_BLOOD_COAGULATION_INTRINSIC_PATHWAY,2,0.2946,0.031296870312968704,1.0,"FLNA, GP1BB"
GO_Biological_Process,GOBP_ACYLGLYCEROL_HOMEOSTASIS,2,0.2985,0.0314968503149685,1.0,"APOC3, APOC4"
GO_Biological_Process,GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS,2,0.2947,0.0314968503149685,1.0,"PKLR, SLC4A1"
GO_Biological_Process,GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,2,0.2947,0.0314968503149685,1.0,"PKLR, SLC4A1"
GO_Biological_Process,GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,2,0.2947,0.0314968503149685,1.0,"PKLR, SLC4A1"
GO_Biological_Process,GOBP_RIBONUCLEOTIDE_CATABOLIC_PROCESS,2,0.2947,0.0314968503149685,1.0,"PKLR, SLC4A1"
GO_Biological_Process,GOBP_LIPID_LOCALIZATION,4,1.2451,0.031596840315968405,1.0,"APOC3, APOC4, CD36, SLC4A1"
GO_Biological_Process,GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,3,0.7204,0.0316968303169683,1.0,"CD36, F2, GNAI2"
GO_Biological_Process,GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_URINE_VOLUME,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_POSTSYNAPTIC_SIGNAL_TRANSDUCTION,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1,0.0326,0.0326967303269673,1.0,GNAI2
GO_Biological_Process,GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY,1,0.0326,0.0326967303269673,1.0,GNAI2
