Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_REGULATION_OF_LEUKOCYTE_DEGRANULATION,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_REGULATION_OF_NATURAL_KILLER_CELL_DEGRANULATION,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_REGULATION_OF_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_CENTRAL_NERVOUS_SYSTEM_MYELIN_FORMATION,1,0.0344,0.0344965503449655,1.0,CNTN1
GO_Biological_Process,GOBP_MYELIN_ASSEMBLY,1,0.0344,0.0344965503449655,1.0,CNTN1
GO_Biological_Process,GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE,1,0.0359,0.035996400359964,1.0,LBP
GO_Biological_Process,GOBP_BASE_EXCISION_REPAIR,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_DENDRITIC_CELL_CHEMOTAXIS,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_DNA_CONFORMATION_CHANGE,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_DNA_GEOMETRIC_CHANGE,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_DNA_TOPOLOGICAL_CHANGE,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_ENDOLYSOSOMAL_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_INTERFERON_ALPHA_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_INTERFERON_BETA_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_MISMATCH_REPAIR,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_GLYCOGEN_CATABOLIC_PROCESS,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_TOLERANCE_INDUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_RNA_POLYMERASE_II_PREINITIATION_COMPLEX_ASSEMBLY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_TOLERANCE_INDUCTION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_TOLL_LIKE_RECEPTOR_2_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_TRANSCRIPTION_INITIATION_AT_RNA_POLYMERASE_II_PROMOTER,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_V_D_J_RECOMBINATION,1,0.0375,0.0375962403759624,1.0,HMGB1
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION,1,0.0376,0.037696230376962306,1.0,NEO1
GO_Biological_Process,GOBP_ELASTIN_CATABOLIC_PROCESS,1,0.0377,0.0377962203779622,1.0,CST3
GO_Biological_Process,GOBP_ELASTIN_METABOLIC_PROCESS,1,0.0377,0.0377962203779622,1.0,CST3
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_TISSUE_REMODELING,1,0.0377,0.0377962203779622,1.0,CST3
GO_Biological_Process,GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY,1,0.0379,0.03799620037996201,1.0,TNFRSF1B
GO_Biological_Process,GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS,1,0.0379,0.03799620037996201,1.0,SH3GL3
