Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Hb,ICAM-1,20,39,0.41775498892201235,"[0.13, 0.64]",0.0065731968940784535,0.02483207715540749,True
HKR,ICAM-1,20,39,0.5114628069552577,"[0.24, 0.71]",0.0006316237340147791,0.003404605980908931,True
MCV,ICAM-1,20,39,0.27247463045653364,"[-0.04, 0.54]",0.08479569816114299,0.1846290570799298,False
MCH,ICAM-1,20,39,0.158113883008419,"[-0.16, 0.44]",0.32347494517138187,0.4718677418011577,False
Trom,ICAM-1,20,39,0.6249999999999999,"[0.39, 0.78]",1.252417408936722e-05,0.00014194063967949515,True
Neutr,ICAM-1,20,39,0.12500000000000042,"[-0.19, 0.42]",0.4361566470231073,0.5679296819010217,False
Lymfos,ICAM-1,20,39,0.5912066613762874,"[0.35, 0.76]",4.698291779517177e-05,0.00043263436803054,True
Monos,ICAM-1,20,39,0.490575740290962,"[0.22, 0.69]",0.0011287099298655505,0.005307338180857213,True
Eosin,ICAM-1,20,39,0.3525119939553162,"[0.05, 0.60]",0.02379129479956645,0.07048647188514823,False
Basof,ICAM-1,20,39,0.5408326913195983,"[0.28, 0.73]",0.0002615026291556333,0.0016512023155255703,True
Lactic acid,ICAM-1,20,39,0.4430734730991039,"[0.16, 0.66]",0.0037178024515361783,0.015357651248401783,True
Leuk,IL-10,20,39,-0.024999999999999835,"[-0.33, 0.28]",0.8767016791266298,0.9226241480332628,False
Eryt,IL-10,20,39,-0.163525246763654,"[-0.45, 0.15]",0.3069756528698824,0.46949217497746715,False
Hb,IL-10,20,39,-0.13925166297400413,"[-0.43, 0.18]",0.3852230935083817,0.5329768662043333,False
HKR,IL-10,20,39,-0.2422718559261738,"[-0.51, 0.07]",0.12696988548080712,0.2527958981194448,False
MCV,IL-10,20,39,-0.19462473604038005,"[-0.47, 0.12]",0.22270450260215943,0.37005785770734767,False
MCH,IL-10,20,39,0.07905694150420962,"[-0.23, 0.38]",0.6231952830196226,0.7505512672879378,False
Trom,IL-10,20,39,-0.2999999999999996,"[-0.56, 0.01]",0.05669100677848863,0.13767815931918667,False
Neutr,IL-10,20,39,0.10000000000000055,"[-0.21, 0.40]",0.5338939001152925,0.6666132877145801,False
Lymfos,IL-10,20,39,-0.28931389812031083,"[-0.55, 0.02]",0.06655316995458983,0.15482369010488792,False
Monos,IL-10,20,39,-0.11320978622099116,"[-0.41, 0.20]",0.4809662304085859,0.6161944169292608,False
Eosin,IL-10,20,39,-0.09490707529566186,"[-0.39, 0.22]",0.5550275735409729,0.6888307498366872,False
Basof,IL-10,20,39,-0.3189526128295066,"[-0.57, -0.01]",0.04209657415440649,0.10881102793127292,False
Lactic acid,IL-10,20,39,-0.11393317879691262,"[-0.41, 0.20]",0.47814942883638767,0.6161944169292608,False
Leuk,IL-15,20,39,0.3499999999999999,"[0.05, 0.59]",0.024879547038876796,0.07094683736247448,False
Eryt,IL-15,20,39,0.566048931104956,"[0.31, 0.74]",0.00011464650275756406,0.0008736854175662639,True
Hb,IL-15,20,39,0.5443474098074705,"[0.28, 0.73]",0.0002340219681856724,0.0015913493836625723,True
HKR,IL-15,20,39,0.659517830021253,"[0.44, 0.80]",2.735471916620217e-06,5.256863422374504e-05,True
MCV,IL-15,20,39,0.17516226243634322,"[-0.14, 0.46]",0.27334317604088565,0.4216630604396233,False
MCH,IL-15,20,39,2.633125101432524e-17,"[-0.31, 0.31]",1.0,1.0,False
Trom,IL-15,20,39,0.575,"[0.32, 0.75]",8.416655856506369e-05,0.0006763930706501481,True
Neutr,IL-15,20,39,-0.07499999999999944,"[-0.37, 0.24]",0.6411866947841538,0.7517361249193527,False
