Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Collagen alpha-1(VI) chain,Concentration/ml,delta_time2_vs_time1,20,17,0.2643824224894806,"[-0.22, 0.64]",0.2740475657058061,0.9859192804439811,False
Hepatocyte growth factor activator,Concentration/ml,delta_time2_vs_time1,20,17,0.10902350925527972,"[-0.36, 0.54]",0.6568339922431985,0.9859192804439811,False
Fibrinogen beta chain,Concentration/ml,delta_time2_vs_time1,20,17,-0.1735861415931613,"[-0.58, 0.30]",0.47726984583494314,0.9859192804439811,False
Hemicentin-1,Concentration/ml,delta_time2_vs_time1,20,17,0.29739203742853476,"[-0.18, 0.66]",0.21626889794809773,0.9859192804439811,False
C-type mannose receptor 2,Concentration/ml,delta_time2_vs_time1,20,17,0.2631974762809836,"[-0.22, 0.64]",0.2762839937292231,0.9859192804439811,False
Platelet glycoprotein Ib beta chain,Concentration/ml,delta_time2_vs_time1,20,17,-0.35118596893368775,"[-0.69, 0.12]",0.14040162583159452,0.9859192804439811,False
Complement C2,Concentration/ml,delta_time2_vs_time1,20,17,-0.07808719093281427,"[-0.51, 0.39]",0.7506730484160451,0.990774006958089,False
Annexin A2,Concentration/ml,delta_time2_vs_time1,20,17,0.1624060150375939,"[-0.32, 0.57]",0.5065084866015446,0.9859192804439811,False
Protein disulfide-isomerase A3,Concentration/ml,delta_time2_vs_time1,20,17,-0.3446413721737871,"[-0.69, 0.13]",0.14846336334898202,0.9859192804439811,False
Dipeptidyl peptidase 4,Concentration/ml,delta_time2_vs_time1,20,17,-0.1060819356760104,"[-0.53, 0.37]",0.6655729882957069,0.9859192804439811,False
Proteasome subunit alpha type-4,Concentration/ml,delta_time2_vs_time1,20,17,0.2034977278265637,"[-0.28, 0.60]",0.40337838770685475,0.9859192804439811,False
Coagulation factor XI,Concentration/ml,delta_time2_vs_time1,20,17,0.01370175716173084,"[-0.44, 0.47]",0.9556029651753364,0.9926311476947687,False
Collectin-11,Concentration/ml,delta_time2_vs_time1,20,17,0.22598053653124192,"[-0.25, 0.62]",0.35223306056464254,0.9859192804439811,False
High mobility group protein B1,Concentration/ml,delta_time2_vs_time1,20,17,0.054340009542206656,"[-0.41, 0.50]",0.8251354201435428,0.990774006958089,False
Immunoglobulin lambda variable 3-16,Concentration/ml,delta_time2_vs_time1,20,17,-0.2437556866410536,"[-0.63, 0.24]",0.31458440333054477,0.9859192804439811,False
Prothrombin,Concentration/ml,delta_time2_vs_time1,20,17,0.06355580950484062,"[-0.40, 0.50]",0.7960313036482782,0.990774006958089,False
Immunoglobulin kappa joining 1,Concentration/ml,delta_time2_vs_time1,20,17,0.21396213426822738,"[-0.27, 0.61]",0.3790905673630579,0.9859192804439811,False
Immunoglobulin heavy variable 3-7,Concentration/ml,delta_time2_vs_time1,20,17,-0.15359146765167764,"[-0.57, 0.32]",0.5301471710696753,0.9859192804439811,False
Immunoglobulin heavy variable 3-74,Concentration/ml,delta_time2_vs_time1,20,17,0.001760833564610707,"[-0.45, 0.46]",0.9942918359192982,0.9950985873486714,False
Ezrin,Concentration/ml,delta_time2_vs_time1,20,17,-0.17442605372282405,"[-0.58, 0.30]",0.4751077785933364,0.9859192804439811,False
Intercellular adhesion molecule 2,Concentration/ml,delta_time2_vs_time1,20,17,-0.1458866011386021,"[-0.56, 0.33]",0.5512175060883319,0.9859192804439811,False
Lysozyme C,Concentration/ml,delta_time2_vs_time1,20,17,-0.12556147731444087,"[-0.55, 0.35]",0.6085192362180105,0.9859192804439811,False
Protein AMBP,Concentration/ml,delta_time2_vs_time1,20,17,-0.03761661830880435,"[-0.48, 0.42]",0.8784859622891645,0.9926311476947687,False
Prolyl endopeptidase FAP,Concentration/ml,delta_time2_vs_time1,20,17,-0.13773946996690012,"[-0.56, 0.34]",0.5738952351340996,0.9859192804439811,False
"Actin, cytoplasmic 2",Concentration/ml,delta_time2_vs_time1,20,17,-0.2976150241938903,"[-0.66, 0.18]",0.21590814839300615,0.9859192804439811,False
Kallistatin,Concentration/ml,delta_time2_vs_time1,20,17,-0.13140981474741495,"[-0.55, 0.34]",0.5917857693793478,0.9859192804439811,False
Hemopexin,Concentration/ml,delta_time2_vs_time1,20,17,-0.07008766440504634,"[-0.51, 0.40]",0.775555987957989,0.990774006958089,False
C4b-binding protein beta chain,Concentration/ml,delta_time2_vs_time1,20,17,0.38278716128496537,"[-0.09, 0.71]",0.10575715477795135,0.9859192804439811,False
Peptidyl-prolyl cis-trans isomerase A,Concentration/ml,delta_time2_vs_time1,20,17,-0.5925703180269001,"[-0.82, -0.19]",0.007505178902960264,0.7775365343466834,False
Complement C1r subcomponent-like protein,Concentration/ml,delta_time2_vs_time1,20,17,0.14399777427704488,"[-0.33, 0.56]",0.5564392518691124,0.9859192804439811,False
Immunoglobulin heavy variable 3-30;Immunoglobulin heavy variable 3-30-5,Concentration/ml,delta_time2_vs_time1,20,17,0.16694239924108087,"[-0.31, 0.58]",0.4945427264104286,0.9859192804439811,False
Immunoglobulin lambda variable 3-9,Concentration/ml,delta_time2_vs_time1,20,17,0.26982291319225826,"[-0.21, 0.64]",0.26392404293794997,0.9859192804439811,False
