Protein,Effect,N,p_value_raw,Partial_Eta_Squared,p_value_FDR
Beta-2-glycoprotein 1,TimePoint,20,0.201,0.086,0.5974659090909091
Vitamin D-binding protein,TimePoint:Group,20,0.787,0.012,0.9214085778781039
Vitamin D-binding protein,Group,20,0.517,0.024,0.658
Vitamin D-binding protein,TimePoint,20,0.03,0.183,0.3378260869565217
Filamin-A,TimePoint:Group,20,0.316,0.057,0.8057777777777778
Filamin-A,Group,20,0.018,0.273,0.07642622950819672
Filamin-A,TimePoint,20,0.01,0.301,0.2072
Reelin,TimePoint:Group,20,0.654,0.023,0.8762056555269923
Reelin,Group,20,0.146,0.114,0.28325093632958803
Reelin,TimePoint,20,0.07,0.138,0.3738144329896908
Immunoglobulin lambda variable 5-39,TimePoint:Group,20,0.733,0.016,0.9040333333333332
Immunoglobulin lambda variable 5-39,Group,20,0.014,0.291,0.06417699115044248
Immunoglobulin lambda variable 5-39,TimePoint,20,0.968,0.001,0.9717519379844961
Fatty acid-binding protein 5,TimePoint:Group,20,0.823,0.007,0.9461084598698482
Fatty acid-binding protein 5,Group,20,0.141,0.116,0.2756150943396226
Fatty acid-binding protein 5,TimePoint,20,0.977,0.001,0.978889748549323
"HLA class I histocompatibility antigen, A alpha chain",TimePoint:Group,20,0.226,0.08,0.8057777777777778
"HLA class I histocompatibility antigen, A alpha chain",Group,20,0.01,0.312,0.04886792452830189
"HLA class I histocompatibility antigen, A alpha chain",TimePoint,20,0.062,0.147,0.3608539325842697
Low affinity immunoglobulin gamma Fc region receptor III-A,TimePoint:Group,20,0.01,0.24,0.8057777777777778
Low affinity immunoglobulin gamma Fc region receptor III-A,Group,20,0.755,0.006,0.8465151515151516
Low affinity immunoglobulin gamma Fc region receptor III-A,TimePoint,20,0.224,0.08,0.6171914893617021
Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,TimePoint:Group,20,0.744,0.007,0.9067990762124711
Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,Group,20,0.713,0.008,0.8171106194690265
Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,TimePoint,20,0.319,0.056,0.7031574468085107
Apolipoprotein D,TimePoint:Group,20,0.122,0.11,0.8057777777777778
Apolipoprotein D,Group,20,0.232,0.078,0.3889190938511327
Apolipoprotein D,TimePoint,20,0.643,0.024,0.832685
Plexin-B1,TimePoint:Group,20,0.761,0.013,0.9082903225806452
Plexin-B1,Group,20,0.001,0.469,0.010791666666666668
Plexin-B1,TimePoint,20,0.747,0.014,0.8854599542334096
Immunoglobulin heavy variable 1-58,TimePoint:Group,20,0.391,0.045,0.8057777777777778
Immunoglobulin heavy variable 1-58,Group,20,0.003,0.404,0.02252173913043478
Immunoglobulin heavy variable 1-58,TimePoint,20,0.143,0.111,0.5073561643835616
Apolipoprotein C-IV,TimePoint:Group,20,0.391,0.046,0.8057777777777778
Apolipoprotein C-IV,Group,20,0.345,0.05,0.5034084507042254
Apolipoprotein C-IV,TimePoint,20,0.23,0.08,0.6237696335078534
Monocyte differentiation antigen CD14,TimePoint:Group,20,0.33,0.06,0.8057777777777778
Monocyte differentiation antigen CD14,Group,20,0.205,0.088,0.3599661016949153
Monocyte differentiation antigen CD14,TimePoint,20,0.064,0.143,0.3643076923076923
Protein MENT,TimePoint:Group,20,0.308,0.063,0.8057777777777778
Protein MENT,Group,20,0.38,0.043,0.5363487738419619
Protein MENT,TimePoint,20,0.095,0.128,0.43459322033898307
Immunoglobulin epsilon heavy chain,TimePoint:Group,20,0.095,0.132,0.8057777777777778
Immunoglobulin epsilon heavy chain,Group,20,0.023,0.254,0.08760294117647059
Immunoglobulin epsilon heavy chain,TimePoint,20,0.738,0.012,0.8827385321100918
Complement factor H,TimePoint:Group,20,0.602,0.028,0.8656793478260869
Complement factor H,Group,20,0.139,0.117,0.2727348484848485
Complement factor H,TimePoint,20,0.812,0.011,0.900676659528908
Stabilin-1,TimePoint:Group,20,0.109,0.117,0.8057777777777778
Stabilin-1,Group,20,0.003,0.398,0.02252173913043478
Stabilin-1,TimePoint,20,0.008,0.24,0.18836363636363637
Macrophage receptor MARCO,TimePoint:Group,20,0.753,0.013,0.9067990762124711
Macrophage receptor MARCO,Group,20,0.001,0.56,0.010791666666666668
Macrophage receptor MARCO,TimePoint,20,0.954,0.002,0.9651796874999999
Protein POF1B,TimePoint:Group,20,0.476,0.036,0.8268076923076922
Protein POF1B,Group,20,0.246,0.074,0.4058216560509554
Protein POF1B,TimePoint,20,0.649,0.019,0.8344137931034483
Phosphatidylcholine-sterol acyltransferase,TimePoint:Group,20,0.391,0.042,0.8057777777777778
Phosphatidylcholine-sterol acyltransferase,Group,20,0.119,0.13,0.2537142857142857
Phosphatidylcholine-sterol acyltransferase,TimePoint,20,0.366,0.046,0.7129667896678967
Clusterin,TimePoint:Group,20,0.151,0.101,0.8057777777777778
Clusterin,Group,20,0.186,0.095,0.3345416666666667
Clusterin,TimePoint,20,0.073,0.138,0.38195959595959594
Platelet-activating factor acetylhydrolase,TimePoint:Group,20,0.414,0.047,0.8057777777777778
Platelet-activating factor acetylhydrolase,Group,20,0.009,0.323,0.047090909090909086
Platelet-activating factor acetylhydrolase,TimePoint,20,0.054,0.156,0.3493488372093023
Vasorin,TimePoint:Group,20,0.029,0.197,0.8057777777777778
Vasorin,Group,20,0.001,0.65,0.010791666666666668
Vasorin,TimePoint,20,0.049,0.168,0.3453333333333334
Myeloperoxidase,TimePoint:Group,20,0.974,0.001,0.9883561643835616
Myeloperoxidase,Group,20,0.221,0.082,0.3778151815181518
Myeloperoxidase,TimePoint,20,0.783,0.011,0.8945198237885462
Immunoglobulin lambda variable 5-52,TimePoint:Group,20,0.902,0.005,0.9588285714285715
Immunoglobulin lambda variable 5-52,Group,20,0.716,0.008,0.8187373068432671
Immunoglobulin lambda variable 5-52,TimePoint,20,0.298,0.065,0.6770350877192982
Carboxypeptidase N catalytic chain,TimePoint:Group,20,0.292,0.064,0.8057777777777778
Carboxypeptidase N catalytic chain,Group,20,0.704,0.008,0.8121870824053451
Carboxypeptidase N catalytic chain,TimePoint,20,0.669,0.014,0.8370579710144929
Fibrinogen gamma chain,TimePoint:Group,20,0.171,0.097,0.8057777777777778
Fibrinogen gamma chain,Group,20,0.62,0.014,0.7498321678321678
Fibrinogen gamma chain,TimePoint,20,0.41,0.046,0.7323448275862069
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,TimePoint:Group,20,0.84,0.009,0.9461084598698482
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,Group,20,0.209,0.086,0.3613953488372093
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,TimePoint,20,0.206,0.084,0.6028700564971752
Tetranectin,TimePoint:Group,20,0.758,0.015,0.9067990762124711
Tetranectin,Group,20,0.809,0.003,0.8766987447698745
Tetranectin,TimePoint,20,0.066,0.141,0.3676129032258065
Apolipoprotein(a),TimePoint:Group,20,0.51,0.035,0.8330219435736678
Apolipoprotein(a),Group,20,0.003,0.387,0.02252173913043478
Apolipoprotein(a),TimePoint,20,0.181,0.092,0.5682303030303031
Alpha-2-antiplasmin,TimePoint:Group,20,0.719,0.018,0.8972057416267941
Alpha-2-antiplasmin,Group,20,0.41,0.038,0.5603693931398417
Alpha-2-antiplasmin,TimePoint,20,0.016,0.208,0.23679999999999998
Retroviral-like aspartic protease 1,TimePoint:Group,20,0.619,0.022,0.8665999999999999
Retroviral-like aspartic protease 1,Group,20,0.05,0.197,0.1423076923076923
Retroviral-like aspartic protease 1,TimePoint,20,0.591,0.024,0.8048923076923076
Ficolin-3,TimePoint:Group,20,0.79,0.011,0.9216666666666667
Ficolin-3,Group,20,0.004,0.373,0.0259
Ficolin-3,TimePoint,20,0.489,0.037,0.7668277945619335
Immunoglobulin kappa variable 2-24,TimePoint:Group,20,0.321,0.06,0.8057777777777778
Immunoglobulin kappa variable 2-24,Group,20,0.134,0.12,0.27008560311284047
Immunoglobulin kappa variable 2-24,TimePoint,20,0.322,0.06,0.7035826771653543
Immunoglobulin superfamily containing leucine-rich repeat protein,TimePoint:Group,20,0.224,0.08,0.8057777777777778
Immunoglobulin superfamily containing leucine-rich repeat protein,Group,20,0.01,0.315,0.04886792452830189
Immunoglobulin superfamily containing leucine-rich repeat protein,TimePoint,20,0.098,0.124,0.43459322033898307
Complement factor D,TimePoint:Group,20,0.293,0.066,0.8057777777777778
Complement factor D,Group,20,0.004,0.384,0.0259
Complement factor D,TimePoint,20,0.275,0.069,0.6622831050228312
Vitamin K-dependent protein Z,TimePoint:Group,20,0.615,0.024,0.8656793478260869
Vitamin K-dependent protein Z,Group,20,0.042,0.211,0.12432000000000001
Vitamin K-dependent protein Z,TimePoint,20,0.202,0.087,0.5974659090909091
EGF-containing fibulin-like extracellular matrix protein 1,TimePoint:Group,20,0.36,0.053,0.8057777777777778
EGF-containing fibulin-like extracellular matrix protein 1,Group,20,0.004,0.378,0.0259
EGF-containing fibulin-like extracellular matrix protein 1,TimePoint,20,0.172,0.096,0.5531728395061728
Dipeptidase 2,TimePoint:Group,20,0.234,0.078,0.8057777777777778
Dipeptidase 2,Group,20,0.021,0.263,0.08367692307692308
Dipeptidase 2,TimePoint,20,0.215,0.082,0.6066417112299465
Myeloblastin,TimePoint:Group,20,0.825,0.006,0.9461084598698482
Myeloblastin,Group,20,0.069,0.172,0.1686511627906977
Myeloblastin,TimePoint,20,0.535,0.029,0.7841944444444444
Neurogenic locus notch homolog protein 1,TimePoint:Group,20,0.348,0.057,0.8057777777777778
Neurogenic locus notch homolog protein 1,Group,20,0.001,0.674,0.010791666666666668
Neurogenic locus notch homolog protein 1,TimePoint,20,0.49,0.038,0.7668277945619335
Vitamin K-dependent protein S,TimePoint:Group,20,0.786,0.009,0.9214085778781039
Vitamin K-dependent protein S,Group,20,0.051,0.195,0.14279999999999998
Vitamin K-dependent protein S,TimePoint,20,0.153,0.104,0.5318133333333334
Dermcidin,TimePoint:Group,20,0.551,0.029,0.8499367816091954
Dermcidin,Group,20,0.437,0.034,0.5819177377892031
Dermcidin,TimePoint,20,0.497,0.034,0.7701238938053097
Immunoglobulin heavy variable 3-73,TimePoint:Group,20,0.477,0.04,0.8268076923076922
Immunoglobulin heavy variable 3-73,Group,20,0.004,0.382,0.0259
Immunoglobulin heavy variable 3-73,TimePoint,20,0.867,0.008,0.922422131147541
Alpha-2-macroglobulin,TimePoint:Group,20,0.554,0.032,0.8499367816091954
Alpha-2-macroglobulin,Group,20,0.673,0.01,0.7834022471910114
Alpha-2-macroglobulin,TimePoint,20,0.776,0.014,0.8945198237885462
Cation-independent mannose-6-phosphate receptor,TimePoint:Group,20,0.278,0.069,0.8057777777777778
Cation-independent mannose-6-phosphate receptor,Group,20,0.001,0.522,0.010791666666666668
Cation-independent mannose-6-phosphate receptor,TimePoint,20,0.851,0.008,0.9164615384615384
Chromodomain-helicase-DNA-binding protein 1;Chromodomain-helicase-DNA-binding protein 2;Chromodomain-helicase-DNA-binding protein 9;Chromodomain-helicase-DNA-binding protein 6;Chromodomain-helicase-DNA-binding protein 8;Chromodomain-helicase-DNA-binding protein 7,TimePoint:Group,20,0.332,0.059,0.8057777777777778
Chromodomain-helicase-DNA-binding protein 1;Chromodomain-helicase-DNA-binding protein 2;Chromodomain-helicase-DNA-binding protein 9;Chromodomain-helicase-DNA-binding protein 6;Chromodomain-helicase-DNA-binding protein 8;Chromodomain-helicase-DNA-binding protein 7,Group,20,0.061,0.181,0.15958585858585858
Chromodomain-helicase-DNA-binding protein 1;Chromodomain-helicase-DNA-binding protein 2;Chromodomain-helicase-DNA-binding protein 9;Chromodomain-helicase-DNA-binding protein 6;Chromodomain-helicase-DNA-binding protein 8;Chromodomain-helicase-DNA-binding protein 7,TimePoint,20,0.842,0.008,0.9162125
Ceruloplasmin,TimePoint:Group,20,0.571,0.029,0.8499367816091954
Ceruloplasmin,Group,20,0.387,0.042,0.5432682926829269
Ceruloplasmin,TimePoint,20,0.081,0.134,0.4073592233009709
Prostaglandin-H2 D-isomerase,TimePoint:Group,20,0.083,0.136,0.8057777777777778
Prostaglandin-H2 D-isomerase,Group,20,0.001,0.571,0.010791666666666668
Prostaglandin-H2 D-isomerase,TimePoint,20,0.001,0.356,0.0518
Protein S100-A9,TimePoint:Group,20,0.221,0.082,0.8057777777777778
Protein S100-A9,Group,20,0.063,0.18,0.16155445544554456
Protein S100-A9,TimePoint,20,0.217,0.084,0.6066417112299465
Immunoglobulin J chain,TimePoint:Group,20,0.758,0.012,0.9067990762124711
Immunoglobulin J chain,Group,20,0.671,0.01,0.7834022471910114
Immunoglobulin J chain,TimePoint,20,0.733,0.014,0.8809605568445475
