TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Cytokine,p_value_FDR,Significant_FDR
.,Male,X3min - X2hrs,0.010575707100671738,0.04901801331007165,18.0,0.21575144291902107,0.8316074530079338,Within-Group,IL-10,0.9363244899259897,False
.,Male,X1hr - X2hrs,0.08672225848003945,0.05871864126717977,18.0,1.4769118734447289,0.15698156881015451,Within-Group,IL-10,0.37596745280753285,False
X3min,.,Female - Male,-0.24201270350806695,0.2413633221638169,18.0,-1.0026904723486085,0.32929994783449323,Between-Group,IL-15,0.5691657627787996,False
X1hr,.,Female - Male,-0.28032812191311307,0.24552720510111886,18.0,-1.1417395550837703,0.2685240337633753,Between-Group,IL-15,0.5063483029081349,False
X2hrs,.,Female - Male,-0.2661489027852914,0.25550076235984714,18.0,-1.0416755720299864,0.3113520182417654,Between-Group,IL-15,0.5539169626859315,False
.,Female,X3min - X1hr,0.35345371195999703,0.0994847054821452,18.0,3.5528447337408298,0.002273519224073996,Within-Group,IL-15,0.02576655120617195,True
.,Female,X3min - X2hrs,0.3421533801643215,0.11202330459014988,18.0,3.054305364550072,0.006828014697046777,Within-Group,IL-15,0.052234312432407844,False
.,Female,X1hr - X2hrs,-0.011300331795675495,0.07831219119285637,18.0,-0.1442985009555742,0.8868680944982147,Within-Group,IL-15,0.9638529861910758,False
.,Male,X3min - X1hr,0.3151382935549509,0.0994847054821452,18.0,3.167705950654994,0.0053273103065895324,Within-Group,IL-15,0.049385719809320903,True
.,Male,X3min - X2hrs,0.3180171808870971,0.11202330459014988,18.0,2.838848416859326,0.010889807068084657,Within-Group,IL-15,0.0666456192566781,False
.,Male,X1hr - X2hrs,0.0028788873321461683,0.07831219119285637,18.0,0.03676167514016362,0.9710796638447724,Within-Group,IL-15,0.9839416461473521,False
X3min,.,Female - Male,-45.26631727899716,34.81073778035158,18.0,-1.300355010129865,0.20988334702491518,Between-Group,IL-12/IL-23p40,0.4687905415301025,False
X1hr,.,Female - Male,-42.33386195064407,32.38983513915737,18.0,-1.3070107263208934,0.20766079246870411,Between-Group,IL-12/IL-23p40,0.46723678305458427,False
X2hrs,.,Female - Male,-45.701666519247475,32.997214084642835,18.0,-1.3850159107982813,0.1829746440569327,Between-Group,IL-12/IL-23p40,0.41783762001060754,False
.,Female,X3min - X1hr,8.344941905116585,4.989814970299559,18.0,1.672395059694088,0.11173811533833485,Within-Group,IL-12/IL-23p40,0.2973205503785258,False
.,Female,X3min - X2hrs,12.305534157098826,5.071284481436954,18.0,2.426512297257684,0.025971798614220717,Within-Group,IL-12/IL-23p40,0.1241776621242428,False
.,Female,X1hr - X2hrs,3.9605922519822414,4.030905289027159,18.0,0.9825565147272692,0.33884907506775874,Within-Group,IL-12/IL-23p40,0.5694977302192997,False
.,Male,X3min - X1hr,11.27739723346967,4.989814970299559,18.0,2.2600832496986643,0.03644885063177118,Within-Group,IL-12/IL-23p40,0.15708941258199974,False
.,Male,X3min - X2hrs,11.870184916848508,5.071284481436954,18.0,2.3406663460309525,0.030963684384864198,Within-Group,IL-12/IL-23p40,0.14141623017564842,False
.,Male,X1hr - X2hrs,0.5927876833788375,4.030905289027159,18.0,0.1470606826194877,0.8847187709018449,Within-Group,IL-12/IL-23p40,0.9638529861910758,False
X3min,.,Female - Male,-0.12253730696705224,0.2155730291095103,18.0,-0.5684259643853858,0.5767692863191605,Between-Group,GM-CSF,0.7478449220917928,False
X1hr,.,Female - Male,-0.1626543596622867,0.25305954591161484,18.0,-0.6427513298356126,0.5284886615012394,Between-Group,GM-CSF,0.7020887774948574,False
X2hrs,.,Female - Male,-0.1997691470762386,0.24812706250677796,18.0,-0.8051082580755641,0.43126425268913327,Between-Group,GM-CSF,0.631420389104664,False
.,Female,X3min - X1hr,-0.02875396040228035,0.0426672845410949,18.0,-0.6739111877294661,0.5089302029350884,Within-Group,GM-CSF,0.6938341224522534,False
.,Female,X3min - X2hrs,0.013217276584077058,0.05506969015037787,18.0,0.2400100045594022,0.8130345368688118,Within-Group,GM-CSF,0.9328249062422815,False
.,Female,X1hr - X2hrs,0.04197123698635741,0.0466300885879884,18.0,0.9000891539624679,0.3799575245437219,Within-Group,GM-CSF,0.6063299073620164,False
.,Male,X3min - X1hr,-0.06887101309751481,0.042667284541094905,18.0,-1.6141409944000968,0.12388990719650192,Within-Group,GM-CSF,0.3256046297550057,False
